City,Population,Area,Density
Shanghai,"1,78,36,133","2,605.80","6,845"
Lagos,"1,49,20,000","1,32","11,3"
Istanbul,"1,41,60,467","5,196","2,725"
Karachi,"1,31,25,000",734,"17,88"
Mumbai,"1,24,78,447",603,"20,694"
Moscow,"1,21,11,194","2,510.12","4,772"
S�o Paulo,"1,18,21,873","1,522.98","7,762"
Beijing,"1,17,16,620","1,368.32","8,563"
Guangzhou,"1,10,70,654","3,843.43","2,88"
Delhi,"1,10,07,835",431.09,"25,535"
Lahore,"1,05,20,000","1,772","3,566"
Shenzhen,"1,04,67,400","1,991.64","5,255"
Seoul,"1,04,42,426",605.21,"17,254"
Jakarta,"97,61,407",664.12,"14,698"
Tianjin,"93,41,844","4,037","2,314"
Chennai,"89,81,087",426,"21,082"
Tokyo,"89,67,665",617.18,"14,4"
Cairo,"89,22,949","3,085.10","2,892"
Dhaka,"89,06,039",302.92,"29,401"
Mexico City,"88,73,017","1,485.49","5,973"
Kinshasa,"87,54,000","2,016","4,342"
Bangalore,"84,25,970",709.5,"11,876"
New York,"83,36,697",783.7,"10,637"
London,"83,08,369","1,572.15","5,285"
Bangkok,"82,80,925","1,568.74","5,28"
Tehran,"82,44,535",760,"10,359"
Dongguan,"82,20,237","2,465","3,335"
Ho Chi Minh City,"76,81,700","2,095.60","3,667"
Bogot�,"76,74,366","1,587","4,836"
Lima,"76,59,521",804.38,"9,522"
Hong Kong,"71,08,100","1,108","6,415"
Hanoi,"68,44,100","3,323.60","2,059"
Hyderabad,"68,09,970",621.48,"10,958"
Wuhan,"64,34,373",888.42,"7,242"
Rio de Janeiro,"64,29,923","1,182.30","5,438"
Foshan,"61,51,622","2,034","3,024"
Ahmedabad,"55,70,585",475,"11,727"
Baghdad,"54,02,486","1,134","4,064"
Singapore,"53,99,200",712.4,"7,579"
Shantou,"53,91,028","2,064.42","2,611"
Riyadh,"51,88,286",800,"6,485"
Jeddah,"51,12,018","1,23","2,789"
Santiago,"50,40,028","2,03","2,469"
Saint Petersburg,"50,23,313","1,399","3,48"
Qalyubia,"48,11,673","1,001.09","4,806"
Chengdu,"47,41,929",421,"11,26"
Alexandria,"46,16,625","2,68","1,723"
Ankara,"45,50,662","2,516","1,551"
Chongqing,"45,13,100","1,435","3,145"
Kolkata,"44,86,679",200.7,"24,252"
Xi'an,"44,83,426",832,"5,388"
Surat,"44,62,002",326.515,"13,666"
Johannesburg,"44,34,827","1,645","2,696"
Nanjing,"43,93,857",742.85,"5,915"
Dar es Salaam,"43,64,541","1,590.50","2,744"
Yangon,"43,50,000",598.75,"6,828"
Abidjan,"42,88,000","2,119","2,024"
Harbin,"42,80,701","1,718.20","2,491.40"
Zhengzhou,"41,22,087","1,006","4,097"
Suzhou,"40,74,000","1,679.20","2,426"
Sydney,"39,56,000","2,037","1,942"
New Taipei City,"39,10,086","2,052.57","1,905"
Los Angeles,"38,19,702","1,29","2,94"
Melbourne,"37,61,000","2,543","1,479"
Cape Town,"37,40,026","2,461","1,52"
Shenyang,"37,17,098",166,"22,392"
Yokohama,"36,80,267",437.38,"8,414"
Busan,"36,00,381",766.12,"4,666"
Hangzhou,"35,60,391",728.19,"4,889"
Quanzhou,"35,20,846","1,062","3,315"
Durban,"34,42,361","2,297","1,499"
Casablanca,"34,27,000",386,"8,878"
Algiers,"34,15,811",363,"9,4"
Berlin,"34,01,147",892,"3,813"
Nairobi,"33,75,000",696,"4,849"
Hefei,"33,52,076",838.52,"3,998"
Kabul,"32,89,000",275,"11,96"
Pyongyang,"32,55,388","3,194","1,019"
Madrid,"32,13,271",698,"4,604"
Ekurhuleni,"31,78,470","1,975","1,609"
Pune,"31,15,431",450.69,"6,913"
Addis Ababa,"31,03,673",526.99,"5,889"
Changsha,"30,93,980",969,"3,19"
Jaipur,"30,73,350",485,"6,337"
Xuzhou,"30,53,778",393,"7,77"
Wenzhou,"30,39,500","1,187.88","2,558"
